Id,TitleId,RealName,CharacterName,Role
0,74,Randolph Greenfelder,,Screenwriter
1,54,Oliver Littel,,Screenwriter
2,33,Jake Hettinger,,Screenwriter
3,97,Justin Nicolas,,Director
4,17,Isaac Hauck,,Cinematographer
5,11,Carrie Hahn,,Producer
6,6,Bertha West,Bertha_West,Actor
7,18,Alfonso Herman,,Costume Designer
8,77,Corey O'Keefe,,Production Designer
9,45,Jeannette Brakus,,Film Editor
10,97,Grant Fadel,,Director
11,40,Rosa Bartell,,Costume Designer
12,66,Victoria Stroman,,Screenwriter
13,38,Stacey Schuppe,,Music Composer
14,70,Erick Gaylord,Erick42,Actress
15,81,Judy Hoppe,,Film Editor
16,46,Marianne West,,Music Composer
17,18,Ana Leannon,,Director
18,3,Karla Kihn,Karla_Kihn,Actress
19,30,Noel Parker,,Director
20,10,Rosalie Jacobs,,Director
21,24,Edith Balistreri,,Screenwriter
22,1,Gertrude Bashirian,,Music Composer
23,35,Randy Lockman,,Costume Designer
24,14,Freddie Orn,,Production Designer
25,63,Byron Schaefer,Byron.Schaefer,Actress
26,38,Traci Brekke,Traci62,Actress
27,46,Belinda Heathcote,,Costume Designer
28,42,Sue Parker,Sue_Parker90,Actor
29,11,Judith Hickle,Judith.Hickle,Actor
30,38,Bessie Kuhic,,Costume Designer
31,47,Isaac Ankunding,,Costume Designer
32,93,Tyler Herzog,,Production Designer
33,69,Jack Marvin,,Music Composer
34,53,Maureen Prosacco,,Film Editor
35,36,Leticia Harber,,Director
36,74,Teri Hettinger,,Costume Designer
37,97,Beatrice Watsica,,Producer
38,9,Morris Franecki,,Producer
39,95,Sherman Gottlieb,,Film Editor
40,24,Lloyd Bauch,,Producer
41,76,Dana Luettgen,,Director
42,94,Heather Breitenberg,,Cinematographer
43,81,Jill Thompson,,Production Designer
44,38,Jonathon Kozey,Jonathon_Kozey,Actress
45,72,Gretchen Walter,,Screenwriter
46,37,Lucia Altenwerth,,Music Composer
47,89,James Prohaska,,Film Editor
48,99,Ira Baumbach,,Cinematographer
49,92,Constance Murazik,Constance_Murazik60,Actress
50,18,Jeremy Langworth,Jeremy55,Actress
51,70,Roman Bernier,Roman16,Actor
52,86,Marta Koepp,Marta_Koepp,Actor
53,61,Phyllis O'Conner,,Production Designer
54,14,Guillermo Mayer,,Costume Designer
55,98,Theresa Hoppe,,Cinematographer
56,42,Pearl Friesen,,Director
57,85,Viola Purdy,,Producer
58,85,Tara Carter,,Screenwriter
59,15,Edith Kling,Edith33,Actor
60,23,Virginia Stehr,,Cinematographer
61,78,Faye Renner,Faye.Renner86,Actress
62,58,Grant Cremin,Grant40,Actor
63,61,Lorraine Hyatt,,Film Editor
64,94,Jack Hoppe,Jack88,Actor
65,95,Nettie Hills,,Production Designer
66,93,Rene Pouros,,Production Designer
67,58,Robert Denesik,,Cinematographer
68,95,Denise Nitzsche,,Screenwriter
69,37,Laurence Padberg,,Producer
70,43,Jeannie Gorczany,,Music Composer
71,15,Donna Mosciski,,Costume Designer
72,54,Roberto Monahan,,Production Designer
73,94,Seth Walsh,,Costume Designer
74,85,Gordon Schmidt,Gordon.Schmidt55,Actor
75,75,Jason Connelly,,Producer
76,48,Donna Hessel,,Cinematographer
77,79,Amos Armstrong,,Screenwriter
78,8,Ivan Bahringer,Ivan.Bahringer70,Actress
79,80,Jessie Walker,,Costume Designer
80,62,Howard Deckow,,Cinematographer
81,68,Ronald Schowalter,Ronald_Schowalter,Actress
82,61,Kathleen Rippin,Kathleen.Rippin,Actress
83,76,Renee Mertz,,Music Composer
84,40,Joan Blick,,Costume Designer
85,61,Jody Stiedemann,Jody.Stiedemann,Actor
86,64,Julius Kuhlman,,Director
87,4,Oliver Weimann,Oliver_Weimann,Actress
88,36,Simon Grady,,Film Editor
89,76,Maurice Heaney,,Director
90,3,Mattie Huels,Mattie83,Actress
91,20,Roger Turner,Roger.Turner,Actress
92,81,Fernando Jakubowski,,Producer
93,54,Whitney Crooks,Whitney_Crooks49,Actor
94,82,Linda Hessel,,Screenwriter
95,70,Jimmy Botsford,,Cinematographer
96,40,Judy Gulgowski,,Producer
97,97,Ramon Funk,Ramon_Funk95,Actress
98,22,Cody Mueller,,Production Designer
99,96,Doreen Waelchi,,Music Composer
